vertex_id:int,label_id:int,name:string,type:string,country:string
61,0,Abu_Salem,Abu Salem,Unknown
62,0,Abu_Sayyaf,Abu Sayyaf,Unknown
63,0,Abu_al-Walid,Abu al-Walid,Unknown
64,0,Academic_Staff_Union_of_Universities,Academic Staff Union of Universities,Unknown
65,0,Aceh,Aceh,Unknown
66,0,Achike_Udenwa,Achike Udenwa,Unknown
67,0,ActionAid,ActionAid,Unknown
68,0,Activist_(Aceh),Activist,Aceh
69,0,Activist_(Algeria),Activist,Algeria
70,0,Activist_(Azerbaijan),Activist,Azerbaijan
71,0,Activist_(Belarus),Activist,Belarus
72,0,Activist_(Cambodia),Activist,Cambodia
73,0,Activist_(Colombia),Activist,Colombia
74,0,Activist_(Communist_Party_of_India),Activist,Communist Party of India
75,0,Activist_(Cote_d'Ivoire),Activist,Cote d'Ivoire
76,0,Activist_(Crimea),Activist,Crimea
77,0,Activist_(Cuba),Activist,Cuba
78,0,Activist_(Czech_Republic),Activist,Czech Republic
79,0,Activist_(Democractic_Party_of_Cote_d'Ivoire_-_African_Democratic_Rally),Activist,Democractic Party of Cote d'Ivoire - African Democratic Rally
80,0,Activist_(Ethiopia),Activist,Ethiopia
81,0,Activist_(France),Activist,France
82,0,Activist_(Germany),Activist,Germany
83,0,Activist_(Hezbul_Mujahedeen),Activist,Hezbul Mujahedeen
84,0,Activist_(Hungary),Activist,Hungary
85,0,Activist_(Iraq),Activist,Iraq
86,0,Activist_(Islami_Chhatra_Shibir),Activist,Islami Chhatra Shibir
87,0,Activist_(Jamaat_I_Islami),Activist,Jamaat I Islami
88,0,Activist_(Jatiya_(national)_Party),Activist (Jatiya,national) Party
89,0,Activist_(Kuwait),Activist,Kuwait
90,0,Activist_(Kyrgyzstan),Activist,Kyrgyzstan
91,0,Activist_(Liberal_Democrats),Activist,Liberal Democrats
92,0,Activist_(Likud),Activist,Likud
93,0,Activist_(Namibia),Activist,Namibia
94,0,Activist_(Netherlands),Activist,Netherlands
95,0,Activist_(Niger),Activist,Niger
96,0,Activist_(Nigeria),Activist,Nigeria
97,0,Activist_(Sahrawi_people),Activist,Sahrawi people
98,0,Activist_(Shiv_Sena),Activist,Shiv Sena
99,0,Activist_(Somalia),Activist,Somalia
100,0,Activist_(Sri_Lanka),Activist,Sri Lanka
101,0,Activist_(Syria),Activist,Syria
102,0,Activist_(Thailand),Activist,Thailand
103,0,Activist_(United_States),Activist,United States
104,0,Activist_(Western_Sahara),Activist,Western Sahara
105,0,Activist_(Zambia),Activist,Zambia
106,0,Actor_(Bahrain),Actor,Bahrain
107,0,Actor_(Congo),Actor,Congo
108,0,Actor_(France),Actor,France
109,0,Actor_(Gabon),Actor,Gabon
110,0,Actor_(Haiti),Actor,Haiti
111,0,Actor_(Hong_Kong),Actor,Hong Kong
112,0,Actor_(Hungary),Actor,Hungary
113,0,Actor_(Philippines),Actor,Philippines
114,0,Actor_(Russia),Actor,Russia
115,0,Actor_(Serbia),Actor,Serbia
116,0,Actor_(Slovakia),Actor,Slovakia
117,0,Actor_(Syria),Actor,Syria
118,0,Actor_(United_Kingdom),Actor,United Kingdom
119,0,Adam_Kighoma_Malima,Adam Kighoma Malima,Unknown
120,0,Adam_Sultanovich_Delimkhanov,Adam Sultanovich Delimkhanov,Unknown
121,0,Adama_Dieng,Adama Dieng,Unknown
122,0,Adams_Oshiomhole,Adams Oshiomhole,Unknown
123,0,Adebisi_Akande,Adebisi Akande,Unknown
124,0,Adel_Adawy,Adel Adawy,Unknown
125,0,Adel_Labib,Adel Labib,Unknown
126,0,Aderenle_Shinaba,Aderenle Shinaba,Unknown
127,0,Adil_Abdul-Mahdi,Adil Abdul-Mahdi,Unknown
128,0,Adilbek_Dzhaksybekov,Adilbek Dzhaksybekov,Unknown
129,0,Adli_Mansour,Adli Mansour,Unknown
130,0,Administrative_Body_(India),Administrative Body,India
131,0,Administrative_Department_of_Security,Administrative Department of Security,Unknown
132,0,Admiral_(Central_African_Republic),Admiral,Central African Republic
133,0,Admiral_(China),Admiral,China
134,0,Admiral_(France),Admiral,France
135,0,Admiral_(India),Admiral,India
136,0,Admiral_(Iran),Admiral,Iran
137,0,Admiral_(Latvia),Admiral,Latvia
138,0,Admiral_(Pakistan),Admiral,Pakistan
139,0,Admiral_(Romania),Admiral,Romania
140,0,Admiral_(Russia),Admiral,Russia
141,0,Admiral_(Sweden),Admiral,Sweden
142,0,Adrian_Edwards,Adrian Edwards,Unknown
143,0,Aero_Vodochody,Aero Vodochody,Unknown
144,0,Afenifere,Afenifere,Unknown
145,0,Afghan_National_Army,Afghan National Army,Unknown
146,0,Afghanistan,Afghanistan,Unknown
147,0,Afonso_Pedro_Canga,Afonso Pedro Canga,Unknown
148,0,African_Christian_Democratic_Party,African Christian Democratic Party,Unknown
149,0,African_Commission_on_Human_and_People's_Rights,African Commission on Human and People's Rights,Unknown
150,0,African_Union,African Union,Unknown
151,0,Agence_France-Presse,Agence France-Presse,Unknown
152,0,Aggrey_Tisa_Sabuni,Aggrey Tisa Sabuni,Unknown
153,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Belarus),Agriculture / Fishing / Forestry Ministry,Belarus
154,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Brazil),Agriculture / Fishing / Forestry Ministry,Brazil
155,0,Agriculture_/_Fishing_/_Forestry_Ministry_(China),Agriculture / Fishing / Forestry Ministry,China
156,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Fiji),Agriculture / Fishing / Forestry Ministry,Fiji
157,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Laos),Agriculture / Fishing / Forestry Ministry,Laos
158,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Liberia),Agriculture / Fishing / Forestry Ministry,Liberia
159,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Namibia),Agriculture / Fishing / Forestry Ministry,Namibia
160,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Netherlands),Agriculture / Fishing / Forestry Ministry,Netherlands
161,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Pakistan),Agriculture / Fishing / Forestry Ministry,Pakistan
162,0,"Agriculture_/_Fishing_/_Forestry_Ministry_(Palestinian_Territory,_Occupied)",Agriculture / Fishing / Forestry Ministry,Palestinian Territory  Occupied
163,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Senegal),Agriculture / Fishing / Forestry Ministry,Senegal
164,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Sierra_Leone),Agriculture / Fishing / Forestry Ministry,Sierra Leone
165,0,Agriculture_/_Fishing_/_Forestry_Ministry_(South_Africa),Agriculture / Fishing / Forestry Ministry,South Africa
166,0,Agriculture_/_Fishing_/_Forestry_Ministry_(South_Korea),Agriculture / Fishing / Forestry Ministry,South Korea
167,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Sudan),Agriculture / Fishing / Forestry Ministry,Sudan
168,0,Agriculture_/_Fishing_/_Forestry_Ministry_(United_Kingdom),Agriculture / Fishing / Forestry Ministry,United Kingdom
169,0,Agriculture_/_Fishing_/_Forestry_Ministry_(Vietnam),Agriculture / Fishing / Forestry Ministry,Vietnam
170,0,Agus_Dwikarna,Agus Dwikarna,Unknown
171,0,Agustín_Rossi,Agustín Rossi,Unknown
172,0,Ahmad_Chalabi,Ahmad Chalabi,Unknown
173,0,Ahmad_Fatfat,Ahmad Fatfat,Unknown
174,0,Ahmad_Khalaf_al-Dulaimi,Ahmad Khalaf al-Dulaimi,Unknown
175,0,Ahmad_Majdalani,Ahmad Majdalani,Unknown
176,0,Ahmad_Mohamed_Ibrahim,Ahmad Mohamed Ibrahim,Unknown
177,0,Ahmad_Muhammad_Ali,Ahmad Muhammad Ali,Unknown
178,0,Ahmad_Umar,Ahmad Umar,Unknown
179,0,Ahmad_Zahid_Hamidi,Ahmad Zahid Hamidi,Unknown
180,0,Ahmad_Zia_Abdulzai,Ahmad Zia Abdulzai,Unknown
181,0,Ahmadu_Bello_University,Ahmadu Bello University,Unknown
182,0,Ahmadu_Giade,Ahmadu Giade,Unknown
183,0,Ahmed_Abu_Khatallah,Ahmed Abu Khatallah,Unknown
184,0,Ahmed_Ezz,Ahmed Ezz,Unknown
185,0,Ahmed_Nejib_Chebbi,Ahmed Nejib Chebbi,Unknown
186,0,Ahmed_Ould_Teguedi,Ahmed Ould Teguedi,Unknown
187,0,Ahmed_Zaki,Ahmed Zaki,Unknown
188,0,Ahmed_bin_Daghr,Ahmed bin Daghr,Unknown
189,0,Aigars_Kalvitis,Aigars Kalvitis,Unknown
190,0,Ainars_Slesers,Ainars Slesers,Unknown
191,0,Air_Force_(Angola),Air Force,Angola
192,0,Air_Force_(Australia),Air Force,Australia
193,0,Air_Force_(Canada),Air Force,Canada
194,0,Air_Force_(Iran),Air Force,Iran
195,0,Air_Force_(Iraq),Air Force,Iraq
196,0,Air_Force_(Jordan),Air Force,Jordan
197,0,Air_Force_(Mexico),Air Force,Mexico
198,0,Air_Force_(North_Korea),Air Force,North Korea
199,0,"Air_Force_(Palestinian_Territory,_Occupied)",Air Force,Palestinian Territory  Occupied
200,0,Air_Force_(Portugal),Air Force,Portugal
201,0,Air_Force_(Spain),Air Force,Spain
202,0,Air_Force_(Sweden),Air Force,Sweden
203,0,Air_Force_(Syria),Air Force,Syria
204,0,Air_Force_(Taiwan),Air Force,Taiwan
205,0,Air_Force_(Turkey),Air Force,Turkey
206,0,Air_Force_(Uganda),Air Force,Uganda
207,0,Air_Force_(United_Kingdom),Air Force,United Kingdom
208,0,Air_Force_(Zambia),Air Force,Zambia
209,0,Air_Force_Chief_(Iran),Air Force Chief,Iran
210,0,Air_Force_Chief_(South_Korea),Air Force Chief,South Korea
211,0,Air_France,Air France,Unknown
212,0,Air_Namibia,Air Namibia,Unknown
213,0,Aircraft_Carrier_(Argentina),Aircraft Carrier,Argentina
214,0,Airline_(Belarus),Airline,Belarus
215,0,Airline_(Bulgaria),Airline,Bulgaria
216,0,Airline_(Canada),Airline,Canada
217,0,Airline_(Kenya),Airline,Kenya
218,0,Airline_(Libya),Airline,Libya
219,0,Airline_(New_Zealand),Airline,New Zealand
220,0,Airline_(Poland),Airline,Poland
221,0,Airline_(South_Korea),Airline,South Korea
222,0,Airline_(Sri_Lanka),Airline,Sri Lanka
223,0,Airman_(Japan),Airman,Japan
224,0,Aissata_Tall_Sall,Aissata Tall Sall,Unknown
225,0,Akali_Leader,Akali Leader,Unknown
226,0,Akhilesh_Yadav,Akhilesh Yadav,Unknown
227,0,Akhmatbek_Keldibekov,Akhmatbek Keldibekov,Unknown
228,0,Akif_Hamzaçebi,Akif Hamzaçebi,Unknown
229,0,Akilisi_Pohiva,Akilisi Pohiva,Unknown
230,0,Akinori_Eto,Akinori Eto,Unknown
231,0,Akitaka_Saiki,Akitaka Saiki,Unknown
232,0,Akja_Nuberdiyeva,Akja Nuberdiyeva,Unknown
233,0,Al-Akhbar,Al-Akhbar,Unknown
234,0,Al-Azhar_University,Al-Azhar University,Unknown
235,0,Al-Marada_Movement,Al-Marada Movement,Unknown
236,0,Al-Muhtadee_Billah,Al-Muhtadee Billah,Unknown
237,0,Al-Mustaqbal,Al-Mustaqbal,Unknown
238,0,Al-Shabaab,Al-Shabaab,Unknown
239,0,Al_Arabiya,Al Arabiya,Unknown
240,0,Al_Gore,Al Gore,Unknown
241,0,Al_Jazeera,Al Jazeera,Unknown
242,0,Al_Sharq_al_Awsat,Al Sharq al Awsat,Unknown
243,0,Al_Wafa,Al Wafa,Unknown
244,0,Al_Wefaq_National_Islamic_Society,Al Wefaq National Islamic Society,Unknown
245,0,Alaa_Abdel_Fattah,Alaa Abdel Fattah,Unknown
246,0,Aladdin_Boroujerdi,Aladdin Boroujerdi,Unknown
247,0,Alain_Moka,Alain Moka,Unknown
248,0,Alan_Dershowitz,Alan Dershowitz,Unknown
249,0,Alan_Johnson,Alan Johnson,Unknown
250,0,Alan_Peter_Cayetano,Alan Peter Cayetano,Unknown
251,0,Alan_Wilson,Alan Wilson,Unknown
252,0,Albert_Kawana,Albert Kawana,Unknown
253,0,Albert_Reynolds,Albert Reynolds,Unknown
254,0,Alberto_Espina,Alberto Espina,Unknown
255,0,Alberto_Fernández,Alberto Fernández,Unknown
256,0,Alberto_Fujimori,Alberto Fujimori,Unknown
257,0,Aldo_Dell'Ariccia,Aldo Dell'Ariccia,Unknown
258,0,Aldo_Giordano,Aldo Giordano,Unknown
259,0,Alejandro_Collia,Alejandro Collia,Unknown
260,0,Alejandro_Ordoñez,Alejandro Ordoñez,Unknown
261,0,Aleksander_Kwasniewski,Aleksander Kwasniewski,Unknown
262,0,Aleksandre_Chikaidze,Aleksandre Chikaidze,Unknown
263,0,Alex_Badeh,Alex Badeh,Unknown
264,0,Alex_Lee,Alex Lee,Unknown
265,0,Alex_Salmond,Alex Salmond,Unknown
266,0,Alexander_Albertovich_Veshnyakov,Alexander Albertovich Veshnyakov,Unknown
267,0,Alexander_Downer,Alexander Downer,Unknown
268,0,Alexander_Grushko,Alexander Grushko,Unknown
269,0,Alexander_Kadakin,Alexander Kadakin,Unknown
270,0,Alexander_Lukashevich,Alexander Lukashevich,Unknown
271,0,Alexander_Panin,Alexander Panin,Unknown
272,0,Alexander_Stubb,Alexander Stubb,Unknown
273,0,Alexander_Valterovich_Litvinenko,Alexander Valterovich Litvinenko,Unknown
274,0,Alexander_Vasilyevich_Bortnikov,Alexander Vasilyevich Bortnikov,Unknown
275,0,Alexander_Vershbow,Alexander Vershbow,Unknown
276,0,Alexei_Miller,Alexei Miller,Unknown
277,0,Alexei_Pushkov,Alexei Pushkov,Unknown
278,0,Alexis_Tsipras,Alexis Tsipras,Unknown
279,0,Alfonso_Prat_Gay,Alfonso Prat Gay,Unknown
280,0,Alfred_Mutua,Alfred Mutua,Unknown
281,0,Alfred_Romualdez,Alfred Romualdez,Unknown
282,0,Alfredo_Rada,Alfredo Rada,Unknown
283,0,Algerian_National_Navy,Algerian National Navy,Unknown
284,0,Algirdas_Butkevičius,Algirdas Butkevičius,Unknown
285,0,Alhaji_Aliko_Dangote,Alhaji Aliko Dangote,Unknown
286,0,Alhaji_Garba_Umar,Alhaji Garba Umar,Unknown
287,0,Alhaji_Lai_Mohammed,Alhaji Lai Mohammed,Unknown
288,0,Ali_Abdullah_Saleh,Ali Abdullah Saleh,Unknown
289,0,Ali_Ahmad_Jalili,Ali Ahmad Jalili,Unknown
290,0,Ali_Al-Za'tari,Ali Al-Za'tari,Unknown
291,0,Ali_Awad_Asiri,Ali Awad Asiri,Unknown
292,0,Ali_Bongo_Ondimba,Ali Bongo Ondimba,Unknown
293,0,Ali_Hassan_Khalil,Ali Hassan Khalil,Unknown
294,0,Ali_Jannati,Ali Jannati,Unknown
295,0,Ali_Ndume,Ali Ndume,Unknown
296,0,Ali_Tayyebnia,Ali Tayyebnia,Unknown
297,0,Alicia_Castro,Alicia Castro,Unknown
298,0,Alicia_Ciciliani,Alicia Ciciliani,Unknown
299,0,Alik_L._Alik,Alik L. Alik,Unknown
300,0,Alireza_Bigdeli,Alireza Bigdeli,Unknown
301,0,Aliyu_Mohammed_Gusau,Aliyu Mohammed Gusau,Unknown
302,0,All_India_Sikh_Students_Federation,All India Sikh Students Federation,Unknown
303,0,Alleged_Militants_(India),Alleged Militants,India
304,0,Alliance_Party_(Italy),Alliance Party,Italy
305,0,Alliance_Party_(Solomon_Islands),Alliance Party,Solomon Islands
306,0,Alliance_for_Democracy,Alliance for Democracy,Unknown
307,0,Aloizio_Mercadante,Aloizio Mercadante,Unknown
308,0,Alpha_Condé,Alpha Condé,Unknown
309,0,Alpha_Group_Commandos,Alpha Group Commandos,Unknown
310,0,Amadou_Toumani_Touré,Amadou Toumani Touré,Unknown
311,0,Amal_Clooney,Amal Clooney,Unknown
312,0,Amal_Movement,Amal Movement,Unknown
313,0,Amar_Ghoul,Amar Ghoul,Unknown
314,0,Amara_Essy,Amara Essy,Unknown
315,0,Amason_Kingi,Amason Kingi,Unknown
316,0,Ambrose_Mammadi,Ambrose Mammadi,Unknown
317,0,American_Chamber_of_Commerce,American Chamber of Commerce,Unknown
318,0,American_Near_East_Refugee_Aid,American Near East Refugee Aid,Unknown
319,0,American_Popular_Revolutionary_Alliance,American Popular Revolutionary Alliance,Unknown
320,0,American_Refugee_Committee,American Refugee Committee,Unknown
321,0,Amin_Hassan_Omer,Amin Hassan Omer,Unknown
322,0,Amin_Makki_Madani,Amin Makki Madani,Unknown
323,0,Amina_Mohamed,Amina Mohamed,Unknown
324,0,Aminata_Touré,Aminata Touré,Unknown
325,0,Amir_Hossain_Amu,Amir Hossain Amu,Unknown
326,0,Amir_Syamsuddin,Amir Syamsuddin,Unknown
327,0,Amit_Kumar,Amit Kumar,Unknown
328,0,Amit_Shah,Amit Shah,Unknown
329,0,Amnesty_International,Amnesty International,Unknown
330,0,Amr_Mohammed_Moussa,Amr Mohammed Moussa,Unknown
331,0,Amrinder_Singh,Amrinder Singh,Unknown
332,0,Anabela_Rodrigues,Anabela Rodrigues,Unknown
333,0,Anand_Panyarachun,Anand Panyarachun,Unknown
334,0,Anandiben_Patel,Anandiben Patel,Unknown
335,0,Ananth_Kumar,Ananth Kumar,Unknown
336,0,Anastasia_Baburova,Anastasia Baburova,Unknown
337,0,Anatoly_Klyan,Anatoly Klyan,Unknown
338,0,Andal_Ampatuan_Sr,Andal Ampatuan Sr,Unknown
339,0,Anders_Borg,Anders Borg,Unknown
340,0,Anders_Breivik,Anders Breivik,Unknown
341,0,Andrea_Orlando,Andrea Orlando,Unknown
342,0,Andrea_Rocchelli,Andrea Rocchelli,Unknown
343,0,Andrei_Kelin,Andrei Kelin,Unknown
344,0,Andrei_Klepach,Andrei Klepach,Unknown
345,0,Andrei_Stenin,Andrei Stenin,Unknown
346,0,Andrej_Babis,Andrej Babis,Unknown
347,0,Andrej_Kiska,Andrej Kiska,Unknown
348,0,Andrew_Langa,Andrew Langa,Unknown
349,0,Andrew_Robb,Andrew Robb,Unknown
350,0,Andrew_Wilkie,Andrew Wilkie,Unknown
351,0,Andris_Piebalgs,Andris Piebalgs,Unknown
352,0,Andris_Vilks,Andris Vilks,Unknown
353,0,Andrius_Krivas,Andrius Krivas,Unknown
354,0,Andrius_Kubilius,Andrius Kubilius,Unknown
355,0,Andriy_Klyuyev,Andriy Klyuyev,Unknown
356,0,Ange-Félix_Patassé,Ange-Félix Patassé,Unknown
357,0,Angel_Aguirre_Rivero,Angel Aguirre Rivero,Unknown
358,0,Angel_Luis_D'Elia,Angel Luis D'Elia,Unknown
359,0,Angela_Merkel,Angela Merkel,Unknown
360,0,Anglican_Communion,Anglican Communion,Unknown
361,0,Anglican_Communion_News_Service,Anglican Communion News Service,Unknown
362,0,Angola,Angola,Unknown
363,0,Angolan_Armed_Forces,Angolan Armed Forces,Unknown
364,0,Angus_Houston,Angus Houston,Unknown
365,0,Anifah_Aman,Anifah Aman,Unknown
366,0,Annick_Girardin,Annick Girardin,Unknown
367,0,Anote_Tong,Anote Tong,Unknown
368,0,Anrijs_Matiss,Anrijs Matiss,Unknown
369,0,Ansar_al-Sharia_in_Libya,Ansar al-Sharia in Libya,Unknown
370,0,Ansar_ash-Shari'a,Ansar ash-Shari'a,Unknown
371,0,Anson_Chan,Anson Chan,Unknown
372,0,Antanas_Valionis,Antanas Valionis,Unknown
373,0,Ante_Kotromanović,Ante Kotromanović,Unknown
374,0,Ante_Starcevic,Ante Starcevic,Unknown
375,0,Anthony_Foxx,Anthony Foxx,Unknown
376,0,Anthony_Garotinho,Anthony Garotinho,Unknown
377,0,Anthony_Martinez,Anthony Martinez,Unknown
378,0,Anti_Defamation_League,Anti Defamation League,Unknown
379,0,Antonio_Guerrero_Rodríguez,Antonio Guerrero Rodríguez,Unknown
380,0,Antonio_Saca,Antonio Saca,Unknown
381,0,Antonio_Tiu,Antonio Tiu,Unknown
382,0,Antonis_Samaras,Antonis Samaras,Unknown
383,0,"Antony_Harold_Curties_""Tony""_Windsor","Antony Harold Curties ""Tony"" Windsor",Unknown
384,0,António_Luís_dos_Santos_da_Costa,António Luís dos Santos da Costa,Unknown
385,0,Anupong_Paochinda,Anupong Paochinda,Unknown
386,0,Anwa_Dramat,Anwa Dramat,Unknown
387,0,Appeals_Court_(Greece),Appeals Court,Greece
388,0,Appeals_Court_(Malaysia),Appeals Court,Malaysia
389,0,Appeals_Court_(Philippines),Appeals Court,Philippines
390,0,Appeals_Court_(South_Korea),Appeals Court,South Korea
391,0,Appeals_Court_(Sudan),Appeals Court,Sudan
392,0,Appeals_Court_(Sweden),Appeals Court,Sweden
393,0,Arab_Israelis,Arab Israelis,Unknown
394,0,Aram_Harutyunyan,Aram Harutyunyan,Unknown
395,0,Archbishop_(Australia),Archbishop,Australia
396,0,Archbishop_(Brazil),Archbishop,Brazil
397,0,Archbishop_(Central_African_Republic),Archbishop,Central African Republic
398,0,Archbishop_(Chile),Archbishop,Chile
399,0,Archbishop_(Germany),Archbishop,Germany
400,0,Archbishop_(India),Archbishop,India
401,0,Archbishop_(Italy),Archbishop,Italy
402,0,Archbishop_(Paraguay),Archbishop,Paraguay
403,0,Archbishop_(Senegal),Archbishop,Senegal
404,0,Archbishop_(South_Africa),Archbishop,South Africa
405,0,Archbishop_(Thailand),Archbishop,Thailand
406,0,Archbishop_(Turkey),Archbishop,Turkey
407,0,Archdiocese_(Kenya),Archdiocese,Kenya
408,0,Argentine_Episcopal_Conference,Argentine Episcopal Conference,Unknown
409,0,Argentine_Industrial_Union,Argentine Industrial Union,Unknown
410,0,Argentine_Naval_Prefecture,Argentine Naval Prefecture,Unknown
411,0,Arif_Alvi,Arif Alvi,Unknown
412,0,Aristide_Sokambi,Aristide Sokambi,Unknown
413,0,Aristovoulos_Spiliotopoulos,Aristovoulos Spiliotopoulos,Unknown
414,0,Arjun_Singh,Arjun Singh,Unknown
415,0,Arkady_Dvorkovich,Arkady Dvorkovich,Unknown
416,0,Armed_Band_(Afghanistan),Armed Band,Afghanistan
417,0,Armed_Band_(Africa),Armed Band,Africa
418,0,Armed_Band_(Algeria),Armed Band,Algeria
419,0,Armed_Band_(Argentina),Armed Band,Argentina
420,0,Armed_Band_(Benin),Armed Band,Benin
421,0,Armed_Band_(Brazil),Armed Band,Brazil
422,0,Armed_Band_(Central_African_Republic),Armed Band,Central African Republic
423,0,Armed_Band_(Democratic_Republic_of_Congo),Armed Band,Democratic Republic of Congo
424,0,Armed_Band_(Guinea),Armed Band,Guinea
425,0,Armed_Band_(India),Armed Band,India
426,0,Armed_Band_(Iran),Armed Band,Iran
427,0,Armed_Band_(Jordan),Armed Band,Jordan
428,0,Armed_Band_(Lebanon),Armed Band,Lebanon
429,0,Armed_Band_(Middle_East),Armed Band,Middle East
430,0,"Armed_Band_(Palestinian_Territory,_Occupied)",Armed Band,Palestinian Territory  Occupied
431,0,Armed_Band_(Philippines),Armed Band,Philippines
432,0,Armed_Band_(Somalia),Armed Band,Somalia
433,0,Armed_Band_(South_Africa),Armed Band,South Africa
434,0,Armed_Band_(South_Sudan),Armed Band,South Sudan
435,0,Armed_Band_(Syria),Armed Band,Syria
436,0,Armed_Band_(Syrian_Kurds),Armed Band,Syrian Kurds
437,0,Armed_Band_(Tunisia),Armed Band,Tunisia
438,0,Armed_Band_(Uganda),Armed Band,Uganda
439,0,Armed_Force_(El_Salvador),Armed Force,El Salvador
440,0,Armed_Force_(Russia),Armed Force,Russia
441,0,Armed_Forces_of_Sao_Tome_and_Principe,Armed Forces of Sao Tome and Principe,Unknown
